,Encoding,Sampling,Scaling,Model,Precision Class 0,Precision Class 1,Recall Class 0,Recall Class 1,F1 Score Class 0,F1 Score Class 1,AUC Score,Overall Accuracy,balanced accuracy,fbeta score
95,Binary,Oversample,MinMaxScaler,CatBoost,0.9843202922819303,0.49430796884361894,0.8845417236662106,0.8890086206896551,0.931767418401902,0.6353484790142473,0.8867751721779329,0.8850449138140325,0.8867751721779329,0.7665861364058724
96,Binary,SMOTE,None,DecisionTree,0.9404876704780273,0.5066394279877426,0.9339261285909712,0.5344827586206896,0.9371954149220947,0.5201887781856318,0.7342044436058304,0.8889293517844137,0.7342044436058304,0.5286719249626946
97,Binary,SMOTE,None,RandomForest,0.9459386767079074,0.655860349127182,0.9622435020519836,0.5668103448275862,0.9540214295402143,0.6080924855491329,0.764526923439785,0.9176984705025492,0.7645269234397849,0.5826318121400088
98,Binary,SMOTE,None,XGBoost,0.9474821115161334,0.6486161251504212,0.9600547195622435,0.5808189655172413,0.9537269824013046,0.6128482092097783,0.7704368425397424,0.9173343044428259,0.7704368425397424,0.5932203389830508
99,Binary,SMOTE,None,CatBoost,0.9483574422062998,0.6492271105826397,0.9596443228454172,0.5883620689655172,0.9539674984701162,0.6172979084228377,0.7740031959054673,0.9178198591891236,0.7740031959054672,0.5996046562705908
100,Binary,SMOTE,StandardScaler,DecisionTree,0.9395695364238411,0.494949494949495,0.9316005471956225,0.5280172413793104,0.9355680725374365,0.5109489051094891,0.7298088942874665,0.8861374119932023,0.7298088942874664,0.5210548702679711
101,Binary,SMOTE,StandardScaler,RandomForest,0.9459459459459459,0.6566791510611736,0.9623803009575923,0.5668103448275862,0.9540923577676815,0.6084441873915558,0.7645953228925892,0.9178198591891236,0.7645953228925892,0.5827609129182362
102,Binary,SMOTE,StandardScaler,XGBoost,0.947517539125742,0.652542372881356,0.9607387140902873,0.5808189655172413,0.9540823257709551,0.6145952109464081,0.7707788398037644,0.917941247875698,0.7707788398037643,0.5938739532833848
103,Binary,SMOTE,StandardScaler,CatBoost,0.9490265008112493,0.6543942992874109,0.9601915184678522,0.59375,0.9545763633890929,0.6225988700564972,0.7769707592339261,0.9189123573682932,0.7769707592339261,0.6049626701800614
104,Binary,SMOTE,MinMaxScaler,DecisionTree,0.9390681003584229,0.49390243902439024,0.93187414500684,0.5237068965517241,0.9354572919527602,0.5083682008368201,0.7277905207792821,0.8858946346200534,0.7277905207792821,0.5174616695059625
